0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,-20.5493103448,,,-20.83575,,,,-11.1744262295,,,-11.2879761905,,,,-8.8890123457,,,-9.5501136364,,,,-27.9225,,,-30.47,,,,-18.6373417722,,,-18.5680882353,,,,,,,,,
2,0.1wt% kaolinite,,,,,,,0.1wt% feldspar,,,,,,,1wt% feldspar,,,,,,,milliq,,,,,,,1wt% koalinite,,,,,,,,,,,,
3,glass slide,,,filter ,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,,,,,,
53,-20.83,0.5747126437,854990.206010359,-21.45,0.625,980829.253011726,,-12.09,0.8196721311,1712978.59137494,-11.71,0.5952380952,904456.274227152,50,-9.31,0.625,980829.253011726,-9.73,0.5681818182,839750.654751821,,-30.83,0.8333333333,1791759.46922806,-31.77,0.6578947368,1072636.80226485,,-19.14,0.6329113924,1002152.02248055,-19.84,0.7352941176,1329135.94727994,,,,,,,
54,-21.09,0.5862068966,882389.180198474,-21.61,0.6375,1014730.80468741,,-12.1,0.8360655738,1808288.77117927,-11.78,0.6071428571,934309.237376833,51,-9.31,0.6375,1014730.80468741,-9.76,0.5795454545,866418.901833982,,-30.89,0.85,1897119.98488588,-31.77,0.6710526316,1111857.51541813,,-19.22,0.6455696203,1037243.34229182,-19.86,0.75,1386294.36111989,,,,,,,
55,-21.1,0.5977011494,910560.05716517,-21.69,0.65,1049822.12449868,,-12.11,0.8524590164,1913649.28683709,-11.87,0.619047619,965080.896043587,52,-9.31,0.65,1049822.12449868,-9.77,0.5909090909,893817.876022096,,-31.24,0.8666666667,2014903.02054226,-31.82,0.6842105263,1152679.50993839,,-19.24,0.6582278481,1073610.98646269,-19.86,0.7647058824,1446918.98293633,,,,,,,
56,-21.12,0.6091954023,939547.594038423,-21.84,0.6625,1086189.76866955,,-12.24,0.868852459,2031432.32249348,-11.87,0.630952381,996829.594358167,53,-9.33,0.6625,1086189.76866955,-9.77,0.6022727273,921988.752988793,,-31.42,0.8833333333,2148434.41316679,-31.82,0.6973684211,1195239.12435718,,-19.34,0.6708860759,1111351.31444554,-19.88,0.7794117647,1511457.5040739,,,,,,,
57,-21.18,0.6206896552,969400.557188104,-22.02,0.675,1123930.0966524,,-12.33,0.8852459016,2164963.715118,-11.87,0.6428571429,1029619.41718116,54,-9.33,0.675,1123930.0966524,-9.82,0.6136363636,950976.289862045,,-31.9,0.9,2302585.09299405,-31.92,0.7105263158,1239690.88692802,,-19.43,0.6835443038,1150572.02759882,-19.93,0.7941176471,1580450.37556085,,,,,,,
58,-21.29,0.632183908,1000172.21585486,-22.08,0.6875,1163150.80980568,,-12.4,0.9016393443,2319114.39494526,-11.89,0.6547619048,1063520.96885684,55,-9.35,0.6875,1163150.80980568,-9.87,0.625,980829.253011726,,-32.56,0.9166666667,2484906.649788,-31.98,0.7236842105,1286210.90256291,,-19.52,0.6962025316,1191394.02211908,-20.01,0.8088235294,1654558.34771457,,,,,,,
59,-21.31,0.6436781609,1031920.91416944,-22.66,0.7,1203972.80432594,,-12.43,0.9180327869,2501435.95173921,-11.95,0.6666666667,1098612.28866811,56,-9.37,0.7,1203972.80432594,-9.95,0.6363636364,1011600.91167848,,-32.58,0.9333333333,2708050.20110221,-32.06,0.7368421053,1335001.06673234,,-19.55,0.7088607595,1233953.63653787,-20.01,0.8235294118,1734601.05538811,,,,,,,
60,-21.7,0.6551724138,1064710.73699243,-22.69,0.7125,1246532.41874473,,-12.63,0.9344262295,2724579.50305342,-12.11,0.6785714286,1134979.93283898,57,-9.48,0.7125,1246532.41874473,-9.97,0.6477272727,1043349.60999306,,-32.93,0.95,2995732.27355399,-32.13,0.75,1386294.36111989,,-19.68,0.7215189873,1278405.39910871,-20.01,0.8382352941,1821612.43237774,,,,,,,
61,-21.9,0.6666666667,1098612.28866811,-22.69,0.725,1290984.18131557,,-12.63,0.9508196721,3012261.5755052,-12.11,0.6904761905,1172720.26082183,58,-9.58,0.725,1290984.18131557,-9.97,0.6590909091,1076139.43281605,,-32.97,0.9666666667,3401197.38166216,-32.15,0.7631578947,1440361.58239017,,-19.84,0.7341772152,1324925.4147436,-20.17,0.8529411765,1916922.61218206,,,,,,,
62,-21.95,0.6781609195,1133703.60847938,-22.8,0.7375,1337504.19695046,,-12.68,0.9672131148,3417726.68361337,-12.16,0.7023809524,1211940.97397511,59,-9.58,0.7375,1337504.19695046,-9.99,0.6704545455,1110040.98449173,,-33.05,0.9833333333,4094344.56222209,-32.35,0.7763157895,1497519.99623012,,-19.9,0.746835443,1373715.57891303,-20.2,0.8676470588,2022283.12783989,,,,,,,
63,-22.05,0.6896551724,1170071.25265026,-22.86,0.75,1386294.36111989,,-12.69,0.9836065574,4110873.86417332,-12.19,0.7142857143,1252762.96849537,60,-9.58,0.75,1386294.36111989,-10,0.6818181818,1145132.304303,,-33.93,1,Err:502,-32.44,0.7894736842,1558144.61804655,,-19.91,0.7594936709,1425008.87330058,-20.3,0.8823529412,2140066.16349627,,,,,,,
64,-22.22,0.7011494253,1207811.5806331,-23.14,0.7625,1437587.65550744,,-12.71,1,Err:502,-12.22,0.7261904762,1295322.58291416,61,-9.58,0.7625,1437587.65550744,-10.03,0.6931818182,1181499.94847388,,,,0,-32.46,0.8026315789,1622683.13918412,,-20.17,0.7721518987,1479076.09457086,-20.47,0.8970588235,2273597.55612079,,,,,,,
