Flight/sample#,,20150823_b924_filter8_050l,,,,,,,,,,,
Total flow (litres),,,50,,,,,,,,,,
Total area (um2/cm3),,,1873.5744611893,220.4508653165,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1741.8560279899,219.3748865638,,,,,,,,,
Total number (um2/cm3),,,913.7052606161,140.0249175595,,,,,,,,,
Number for d>0.5um (um2/cm3),,,212.7208334451,16.6745551556,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-17.81,0.701754386,1201380.37620533,3.01E+04,1.2098379238,0.9615,1.5303,0.2483379238,0.3204620762,9746.4304268458,10984.8662061172,16041294.0129959,6.16E+06,5533885.04352327
-17.82,0.7192982456,1261974.34633462,3.16E+04,1.2704625456,1.0097,1.607,0.2607625456,0.3365374544,10234.5099487222,11535.6271518144,16850368.0660688,6.47E+06,5811240.94472623
-17.92,0.7368421053,1326200.17388755,3.32E+04,1.3350010667,1.0604,1.6875,0.2746010667,0.3524989333,10763.8607175802,12100.9325247392,17707936.0798387,6.79E+06,6111250.18713398
-18.24,0.7543859649,1394112.90251999,3.49E+04,1.4039939382,1.1135,1.7721,0.2904939382,0.3681060618,11347.3502538879,12678.8057250176,18614733.0184227,7.11E+06,6440401.84319276
-18.34,0.7719298246,1467856.8709106,3.67E+04,1.4781019104,1.1693,1.907,0.3088019104,0.4288980896,11994.0993366727,14117.5144625104,19599390.9186751,7.88E+06,6804428.50875258
-18.47,0.7894736842,1547406.25326185,3.87E+04,1.558144618,1.2279,2.0026,0.330244618,0.444455382,12719.9871932453,14736.7348072574,20661564.9445895,8.23E+06,7211303.967063
-18.51,0.8070175439,1634261.11080389,4.09E+04,1.645155995,1.2895,2.103,0.355655995,0.457844005,13544.2010085583,15345.0639170865,21821284.4921066,8.58E+06,7671494.96711155
-18.68,0.8245614035,1728880.22606301,4.33E+04,1.7404661748,1.3541,2.2631,0.3863661748,0.5226338252,14496.1955175288,16960.5464692589,23084675.4024153,9.45E+06,8200115.80290077
-18.7,0.8421052632,1834156.61038138,4.59E+04,1.8458266905,1.422,2.4354,0.4238266905,0.5895733095,15610.6568009194,18676.5246968086,24490366.2784476,1.04E+07,8816248.72321349
-19.17,0.8596491228,1949776.72785781,4.88E+04,1.9636097262,1.4933,2.6208,0.4703097262,0.6571902738,16940.8249016879,20466.0649400999,26034170.6679573,1.13E+07,9546780.41249481
-19.2,0.8771929825,2083157.17485932,5.21E+04,2.0971411188,1.607,2.7522,0.4901411188,0.6550588812,17883.0720920239,20928.4925963522,27815117.8253382,1.16E+07,10090409.2681439
-19.32,0.8947368421,2236687.42029787,5.60E+04,2.2512917986,1.6875,3.035,0.5637917986,0.7837082014,19854.7355516383,24076.3104507804,29865112.8608375,1.33E+07,11164679.6924886
-19.46,0.9122807018,2418250.26067258,6.05E+04,2.4336133554,1.816,3.347,0.6176133554,0.9133866446,21608.215633797,27391.805884258,32289409.912771,1.51E+07,12142819.2270704
-19.48,0.9298245614,2641282.25291101,6.61E+04,2.6567569067,1.9543,3.6909,0.7024569067,1.0341430933,24099.2460865451,30679.934071045,35267419.0701217,1.69E+07,13515515.597359
-19.77,0.9473684211,2927252.6420352,7.32E+04,2.9444389792,2.1551,4.2743,0.7893389792,1.3298610208,26906.766289169,37958.5517992837,39085805.9705649,2.08E+07,15079600.59341
-19.95,0.9649122807,3331561.38032094,8.33E+04,3.3499040873,2.3766,5.0724,0.9733040873,1.7224959127,32019.4310752424,47845.8397593027,44484292.1380771,2.61E+07,17873594.8601243
-20.07,0.9824561404,4023894.73852567,1.01E+05,4.0430512678,2.6857,6.9709,1.3573512678,2.9278487322,42223.930041223,77425.2065567385,53728594.0876777,4.18E+07,23406470.9214837
-20.17,1,Err:502,Err:502,Err:502,3.7823,19.4706,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502,Err:502
